Name,wikipedia,Hex,Red,Green,Blue,Hue,Saturation,Light,Saturation(HSV),Value
Gray-asparagus,https://en.wikipedia.org/wiki/Shades_of_green#Gray-asparagus,#465945,27%,35%,27%,117°,13%,31%,22%,35%
Gray-blue,https://en.wikipedia.org/wiki/Variations_of_gray#Cool_gray,#8C92AC,55%,57%,67%,229°,16%,61%,19%,67%
Green (Color Wheel) (X11 green),https://en.wikipedia.org/wiki/Shades_of_green#Green_.28RGB.29_.28X11_green.29_.28HTML.2FCSS_lime.29_.28color_wheel_green.29_.28electric_green.29,#00FF00,0%,100%,0%,120°,100%,50%,100%,100%
Green (Crayola),https://en.wikipedia.org/wiki/Shades_of_green#Green_.28Crayola.29,#1CAC78,11%,67%,47%,158°,72%,39%,84%,67%
Green (HTML/CSS color),https://en.wikipedia.org/wiki/Green_(HTML/CSS_color),#008000,0%,50%,0%,120°,100%,25%,100%,50%
Green (Munsell),https://en.wikipedia.org/wiki/Shades_of_green#Green_.28Munsell.29,#00A877,0%,66%,47%,163°,100%,33%,100%,66%
Green (NCS),https://en.wikipedia.org/wiki/Shades_of_green#Green_.28NCS.29,#009F6B,0%,62%,42%,160°,100%,31%,100%,62%
Green (Pantone),https://en.wikipedia.org/wiki/Shades_of_green#Green_.28Pantone.29,#00AD43,0%,68%,26%,143°,100%,34%,100%,68%
Green (pigment),https://en.wikipedia.org/wiki/Shades_of_green#Green_.28CMYK.29_.28pigment_green.29,#00A550,0%,65%,31%,149°,100%,32%,100%,65%
Green (RYB),https://en.wikipedia.org/wiki/RYB_color_model,#66B032,40%,69%,20%,95°,56%,44%,72%,69%
Green-blue,https://en.wikipedia.org/wiki/Blue-green,#1164B4,7%,39%,71%,209°,83%,39%,91%,71%
Green-cyan,https://en.wikipedia.org/wiki/Shades_of_cyan,#009966,0%,60%,40%,160°,100%,30%,100%,60%
Green Lizard,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Heads_.27n_Tails,#A7F432,65%,96%,20%,84°,90%,58%,80%,96%
Green Sheen,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silver_Swirls,#6EAEA1,43%,68%,63%,168°,28%,56%,37%,68%
Green-yellow,https://en.wikipedia.org/wiki/Shades_of_green#Yellow-green,#ADFF2F,68%,100%,18%,84°,100%,59%,82%,100%
Grizzly,https://en.wikipedia.org/wiki/Grizzly,#885818,53%,35%,9%,34°,70%,31%,82%,53%
Grullo,https://en.wikipedia.org/wiki/Grullo,#A99A86,66%,60%,53%,34°,17%,59%,21%,66%
Guppie green,https://en.wikipedia.org/wiki/List_of_Crayola_colored_pencil_colors,#00FF7F,0%,100%,50%,150°,100%,50%,100%,100%
Gunmetal,https://en.wikipedia.org/wiki/Gunmetal#Color,#2a3439,16%,20%,22%,200°,15%,19%,15%,19%
Halayà úbe,https://en.wikipedia.org/wiki/Lavender_(color)#Halay.C3.A0_.C3.BAbe,#663854,40%,22%,33%,323°,29%,31%,45%,40%
Han blue,https://en.wikipedia.org/wiki/Han_blue,#446CCF,27%,42%,81%,223°,59%,54%,67%,81%
Han purple,https://en.wikipedia.org/wiki/Han_purple,#5218FA,32%,9%,98%,255°,96%,54%,90%,98%
Hansa yellow,https://en.wikipedia.org/wiki/Hansa_yellow,#E9D66B,91%,84%,42%,51°,74%,67%,54%,91%
Harlequin,https://en.wikipedia.org/wiki/Shades_of_green#Harlequin,#3FFF00,25%,100%,0%,105°,100%,50%,100%,100%
Harlequin green,https://en.wikipedia.org/wiki/Shades_of_green#Harlequin,#46CB18,27%,80%,9%,105°,79%,45%,88%,80%
Harvard crimson,https://en.wikipedia.org/wiki/Crimson#Harvard_crimson,#C90016,79%,0%,9%,353°,100%,39%,100%,79%
Harvest gold,https://en.wikipedia.org/wiki/Gold_(color)#Harvest_gold,#DA9100,85%,57%,0%,40°,100%,43%,100%,85%
Heart Gold,https://en.wikipedia.org/wiki/Gold,#808000,50%,50%,0%,60°,100%,25%,100%,50%
Heat Wave,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Extreme_Twistables_colors,#FF7A00,100%,48%,0%,29°,100%,50%,100%,100%
Heidelberg Red; [1],https://en.wikipedia.org/wiki/Heidelberg_University; ,#960018,59%,0%,9%,10°,100%,29%,100%,60%
Heliotrope,https://en.wikipedia.org/wiki/Heliotrope_(color),#DF73FF,87%,45%,100%,286°,100%,73%,55%,100%
Heliotrope gray,https://en.wikipedia.org/wiki/Heliotrope_(color)#Heliotrope_gray,#AA98A9,67%,60%,66%,303°,10%,63%,11%,67%
Heliotrope magenta,https://en.wikipedia.org/wiki/Heliotrope_(color),#AA00BB,67%,0%,73%,295°,100%,37%,100%,73%
Hollywood cerise,https://en.wikipedia.org/wiki/Cerise_(color)#Hollywood_cerise,#F400A1,96%,0%,63%,320°,100%,48%,100%,96%
Honeydew,https://en.wikipedia.org/wiki/Spring_green_(color)#Honeydew,#F0FFF0,94%,100%,94%,120°,100%,97%,6%,100%
Honolulu blue,https://en.wikipedia.org/wiki/Azure_(color)#Honolulu_blue,#006DB0,0%,43%,69%,203°,100%,35%,100%,69%
Hooker's green,https://en.wikipedia.org/wiki/Hooker%27s_green,#49796B,29%,47%,42%,163°,25%,38%,40%,47%
Hot magenta,https://en.wikipedia.org/wiki/Variations_of_magenta#Hot_magenta,#FF1DCE,100%,11%,81%,313°,100%,56%,89%,100%
Hot pink,https://en.wikipedia.org/wiki/Shades_of_pink#Hot_pink,#FF69B4,100%,41%,71%,330°,100%,71%,59%,100%
Hunter green,https://en.wikipedia.org/wiki/Shades_of_green#Hunter_green,#355E3B,21%,37%,23%,129°,28%,29%,44%,37%
Iceberg,https://en.wikipedia.org/wiki/Blue-gray#Iceberg,#71A6D2,44%,65%,82%,207°,52%,63%,46%,82%
Icterine,https://en.wikipedia.org/wiki/Icterine,#FCF75E,99%,97%,37%,58°,96%,68%,63%,99%
Iguana Green,https://en.wikipedia.org/wiki/List_of_Crayola_marker_colors#Standard_colors,#71BC78,44%,74%,47%,126°,36%,59%,40%,74%
Illuminating Emerald,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Metallic_FX,#319177,19%,57%,47%,164°,49%,38%,66%,57%
Imperial,https://en.wikipedia.org/wiki/Byzantium_(color)#Imperial,#602F6B,38%,18%,42%,289°,39%,30%,56%,42%
Imperial blue,https://en.wikipedia.org/wiki/Indigo#Imperial_blue,#002395,0%,14%,58%,226°,100%,29%,100%,58%
Imperial purple,https://en.wikipedia.org/wiki/Purple#Tyrian_purple:_Classical_antiquity,#66023C,40%,1%,24%,325°,96%,20%,98%,40%
Imperial red,https://en.wikipedia.org/wiki/Shades_of_red#Imperial_red,#ED2939,93%,16%,22%,355°,84%,55%,83%,93%
Inchworm,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Standard_colors,#B2EC5D,70%,93%,36%,84°,79%,65%,61%,93%
Independence,https://en.wikipedia.org/wiki/Shades_of_blue#Independence,#4C516D,30%,32%,43%,231°,18%,36%,30%,43%
India green,https://en.wikipedia.org/wiki/Shades_of_green#India_green,#138808,7%,53%,3%,115°,89%,28%,94%,53%
Indian red,https://en.wikipedia.org/wiki/Indian_red_(color),#CD5C5C,80%,36%,36%,0°,53%,58%,55%,80%
Indian yellow,https://en.wikipedia.org/wiki/Indian_yellow,#E3A857,89%,66%,34%,35°,71%,62%,62%,89%
Indigo,https://en.wikipedia.org/wiki/Indigo,#4B0082,29%,0%,51%,266°,100%,26%,100%,100%
Indigo dye,https://en.wikipedia.org/wiki/Indigo#Indigo_dye,#091F92,4%,12%,57%,230°,88%,30%,94%,57%
Indigo (web),https://en.wikipedia.org/wiki/Indigo#Pigment_indigo_.28web_color_indigo.29,#4B0082,29%,0%,51%,275°,100%,25%,100%,51%
Infra Red,https://en.wikipedia.org/wiki/List_of_Crayola_marker_colors#Standard_colors,#FF496C,100%,29%,42%,348°,100%,64%,71%,100%
Interdimensional Blue,https://en.wikipedia.org/w/index.php?title=Interdimensional_Blue&action=edit&redlink=1,#360CCC,21%,5%,80%,253°,89%,42%,94%,80%
International Klein Blue,https://en.wikipedia.org/wiki/International_Klein_Blue,#002FA7,0%,18%,65%,223°,100%,33%,100%,65%
International orange (aerospace),https://en.wikipedia.org/wiki/International_orange,#FF4F00,100%,31%,0%,19°,100%,50%,100%,100%
International orange (engineering),https://en.wikipedia.org/wiki/International_orange#International_orange_.28Engineering.29,#BA160C,73%,9%,5%,3°,88%,39%,94%,73%
International orange (Golden Gate Bridge),https://en.wikipedia.org/wiki/International_orange#Golden_Gate_Bridge,#C0362C,75%,21%,17%,4°,63%,46%,77%,75%
Iris,https://en.wikipedia.org/wiki/Iris_(color),#5A4FCF,35%,31%,81%,245°,57%,56%,62%,81%
Irresistible,https://en.wikipedia.org/wiki/Cerise_(color)#Irresistible,#B3446C,70%,27%,42%,338°,45%,48%,62%,70%
Isabelline,https://en.wikipedia.org/wiki/Isabelline_(colour),#F4F0EC,96%,94%,93%,30°,27%,94%,3%,96%
Islamic green,https://en.wikipedia.org/wiki/Shades_of_green#Islamic_green,#009000,0%,56%,0%,120°,100%,28%,100%,56%
Italian sky blue,https://en.wikipedia.org/wiki/Sky_blue#Celeste,#B2FFFF,70%,100%,100%,180°,100%,85%,30%,100%
Ivory,https://en.wikipedia.org/wiki/Ivory_(color),#FFFFF0,100%,100%,94%,60°,100%,97%,6%,100%
Jade,https://en.wikipedia.org/wiki/Shades_of_green#Jade,#00A86B,0%,66%,42%,158°,100%,33%,100%,66%
Japanese carmine,https://en.wikipedia.org/wiki/Carmine_(color)#Japanese_carmine,#9D2933,62%,16%,20%,355°,59%,39%,74%,62%
Japanese indigo,https://en.wikipedia.org/wiki/Indigo#Japanese_indigo,#264348,15%,26%,28%,189°,31%,22%,47%,28%
Japanese violet,https://en.wikipedia.org/wiki/Shades_of_violet#Japanese_violet,#5B3256,36%,20%,34%,307°,29%,28%,45%,36%
Jasmine,https://en.wikipedia.org/wiki/Jasmine_(color),#F8DE7E,97%,87%,49%,47°,90%,73%,49%,97%
Jasper,https://en.wikipedia.org/wiki/Jasper,#D73B3E,84%,23%,24%,359°,66%,54%,73%,84%
Jazzberry jam,https://en.wikipedia.org/wiki/Red-violet#Jazzberry_jam,#A50B5E,65%,4%,37%,328°,88%,35%,93%,65%
Jelly Bean,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Magic_Scent,#DA614E,85%,38%,31%,8°,65%,58%,64%,85%
Jet,https://en.wikipedia.org/wiki/Shades_of_black_(colors)#Jet,#343434,20%,20%,20%,—°,0%,20%,0%,20%
Jonquil,https://en.wikipedia.org/wiki/Jonquil_(color),#F4CA16,96%,79%,9%,49°,91%,52%,91%,96%
Jordy blue,https://en.wikipedia.org/wiki/Azure_(color)#Jordy_blue,#8AB9F1,54%,73%,95%,213°,79%,74%,43%,95%
June bud,https://en.wikipedia.org/wiki/Spring_bud#June_bud,#BDDA57,74%,85%,34%,73°,64%,60%,60%,85%
Jungle green,https://en.wikipedia.org/wiki/Jungle_green,#29AB87,16%,67%,53%,163°,61%,42%,76%,67%
Kelly green,https://en.wikipedia.org/wiki/Shades_of_green#Kelly_green,#4CBB17,30%,73%,9%,101°,78%,41%,88%,73%
Kenyan copper,https://en.wikipedia.org/wiki/Copper_(color)#Kenyan_copper,#7C1C05,49%,11%,2%,12°,92%,25%,96%,49%
Keppel,https://en.wikipedia.org/wiki/Variations_of_cyan#Keppel,#3AB09E,23%,69%,62%,171°,50%,46%,67%,69%
Key Lime,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Pearl_Brite,#E8F48C,91%,96%,55%,67°,83%,75%,43%,96%
Khaki (HTML/CSS) (Khaki),https://en.wikipedia.org/wiki/Khaki_(color)#Khaki,#C3B091,76%,69%,57%,37°,29%,67%,26%,76%
Khaki (X11) (Light khaki),https://en.wikipedia.org/wiki/Khaki_(color)#Light_khaki,#F0E68C,94%,90%,55%,54°,77%,75%,42%,94%
Kiwi,https://en.wikipedia.org/wiki/List_of_Crayola_marker_colors#Standard_colors,#8EE53F,56%,90%,25%,91°,76%,57%,72%,90%
Kobe,https://en.wikipedia.org/wiki/Indian_red_(color)#Kobe,#882D17,53%,18%,9%,12°,71%,31%,83%,53%
Kobi,https://en.wikipedia.org/wiki/Red-violet#Kobi,#E79FC4,91%,62%,77%,329°,60%,76%,31%,91%
Kobicha,https://en.wikipedia.org/wiki/Kobicha,#6B4423,42%,27%,14%,28°,51%,28%,67%,42%
Kombu green,https://en.wikipedia.org/wiki/Chartreuse_(color)#Kombu_green,#354230,21%,26%,19%,103°,16%,22%,27%,26%
KSU Purple,https://en.wikipedia.org/wiki/Shades_of_purple#KSU_Purple,#512888,31%,15%,51%,266°,55%,33%,71%,53%
KU Crimson,https://en.wikipedia.org/wiki/Crimson#KU_Crimson,#E8000D,91%,0%,5%,357°,100%,45%,100%,91%
La Salle Green,https://en.wikipedia.org/wiki/De_La_Salle_University,#087830,3%,47%,19%,141°,88%,25%,93%,47%
Languid lavender,https://en.wikipedia.org/wiki/Lavender_(color)#Languid_lavender,#D6CADD,84%,79%,87%,278°,22%,83%,9%,87%
Lapis lazuli,https://en.wikipedia.org/wiki/Azure_(color)#Lapis_lazuli,#26619C,15%,38%,61%,210°,61%,38%,76%,61%
Laser Lemon,https://en.wikipedia.org/wiki/Lemon_(color)#Laser_lemon,#FFFF66,100%,100%,40%,60°,100%,70%,60%,100%
Laurel green,https://en.wikipedia.org/wiki/Shades_of_green#Laurel_green,#A9BA9D,66%,73%,62%,95°,17%,67%,16%,73%
Lava,https://en.wikipedia.org/wiki/Lava_(color),#CF1020,81%,6%,13%,355°,86%,44%,92%,81%
Lavender (floral),https://en.wikipedia.org/wiki/Lavender_(color)#Lavender_.28floral.29,#B57EDC,71%,49%,86%,275°,57%,68%,43%,86%
Lavender (web),https://en.wikipedia.org/wiki/Lavender_(color),#E6E6FA,90%,90%,98%,240°,67%,94%,8%,98%
Lavender blue,https://en.wikipedia.org/wiki/Lavender_(color)#Lavender_blue,#CCCCFF,80%,80%,100%,240°,100%,90%,20%,100%
Lavender blush,https://en.wikipedia.org/wiki/Lavender_(color)#Lavender_blush,#FFF0F5,100%,94%,96%,340°,100%,97%,6%,100%
Lavender gray,https://en.wikipedia.org/wiki/Lavender_(color)#Lavender_gray,#C4C3D0,77%,76%,82%,245°,12%,79%,6%,82%
Lavender indigo,https://en.wikipedia.org/wiki/Lavender_(color)#Lavender_indigo,#9457EB,58%,34%,92%,265°,79%,63%,63%,92%
Lavender magenta,https://en.wikipedia.org/wiki/Lavender_(color)#Lavender_magenta_.28web_color_.22light_violet.22.29,#EE82EE,93%,51%,93%,300°,76%,72%,45%,93%
Lavender mist,https://en.wikipedia.org/wiki/Lavender_(color)#Lavender_mist,#E6E6FA,90%,90%,98%,240°,67%,94%,8%,98%
Lavender pink,https://en.wikipedia.org/wiki/Lavender_(color)#Lavender_pink,#FBAED2,98%,68%,82%,332°,91%,83%,31%,98%
Lavender purple,https://en.wikipedia.org/wiki/Lavender_(color)#Lavender_purple_.28purple_mountain_majesty.29,#967BB6,59%,48%,71%,267°,29%,60%,32%,71%
Lavender rose,https://en.wikipedia.org/wiki/Lavender_(color)#Lavender_rose,#FBA0E3,98%,63%,89%,316°,92%,81%,36%,98%
Lawn green,https://en.wikipedia.org/wiki/Chartreuse_(color)#Lawn_green,#7CFC00,49%,99%,0%,90°,100%,49%,100%,99%
Lemon,https://en.wikipedia.org/wiki/Lemon_(color),#FFF700,100%,97%,0%,58°,100%,50%,100%,100%
Lemon chiffon,https://en.wikipedia.org/wiki/Lemon_chiffon,#FFFACD,100%,98%,80%,54°,100%,90%,20%,100%
Lemon curry,https://en.wikipedia.org/wiki/Lemon_(color)#Lemon_curry,#CCA01D,80%,63%,11%,45°,75%,46%,86%,80%
Lemon glacier,https://en.wikipedia.org/wiki/Lemon_(color)#Lemon_glacier,#FDFF00,99%,100%,0%,60°,100%,50%,100%,100%
Lemon lime,https://en.wikipedia.org/wiki/Lemon_lime,#E3FF00,89%,100%,0%,67°,100%,50%,100%,100%
Lemon meringue,https://en.wikipedia.org/wiki/Lemon_(color)#Lemon_meringue,#F6EABE,96%,92%,75%,47°,76%,85%,23%,96%
Lemon yellow,https://en.wikipedia.org/wiki/Lemon_(color)#Lemon_yellow,#FFF44F,100%,96%,31%,56°,100%,65%,69%,100%
Licorice,https://en.wikipedia.org/wiki/Shades_of_black_(colors)#Licorice,#1A1110,10%,7%,6%,6°,24%,8%,38%,10%
Liberty,https://en.wikipedia.org/wiki/Variations_of_blue#Liberty,#545AA7,33%,35%,65%,236°,33%,49%,50%,65%
Light apricot,https://en.wikipedia.org/wiki/Apricot_(color)#Light_apricot,#FDD5B1,99%,84%,69%,28°,95%,84%,30%,99%
Light blue,https://en.wikipedia.org/wiki/Blue#Light_blue,#ADD8E6,68%,85%,90%,195°,53%,79%,25%,90%
Light brown,https://en.wikipedia.org/wiki/Light_brown,#B5651D,71%,40%,11%,28°,72%,41%,84%,71%
Light carmine pink,https://en.wikipedia.org/wiki/Carmine_(color)#Light_Carmine_Pink,#E66771,90%,40%,44%,355°,72%,65%,55%,90%
Light cobalt blue,https://en.wikipedia.org/wiki/Cobalt_blue,#88ACE0,53%,67%,88%,215°,59%,71%,39%,88%
Light coral,https://en.wikipedia.org/wiki/Coral_(color)#Light_coral,#F08080,94%,50%,50%,0°,79%,72%,47%,94%
Light cornflower blue,https://en.wikipedia.org/wiki/Cornflower_blue#Light_cornflower_blue,#93CCEA,58%,80%,92%,201°,67%,75%,37%,92%
Light crimson,https://en.wikipedia.org/wiki/Crimson#Light_Crimson,#F56991,96%,41%,57%,343°,88%,69%,57%,96%
Light cyan,https://en.wikipedia.org/wiki/Cyan#Light_cyan,#E0FFFF,88%,100%,100%,180°,100%,94%,12%,100%
Light deep pink,https://en.wikipedia.org/wiki/Variations_of_pink#Light_deep_pink,#FF5CCD,100%,36%,80%,318°,100%,68%,64%,100%
Light French beige,https://en.wikipedia.org/wiki/Beige#Light_French_beige,#C8AD7F,78%,68%,50%,38°,40%,64%,37%,78%
Light fuchsia pink,https://en.wikipedia.org/wiki/Fuchsia_(color)#Light_fuchsia_pink_.28pale_magenta.29,#F984EF,98%,52%,94%,305°,91%,75%,47%,98%
Light goldenrod yellow,https://en.wikipedia.org/wiki/Goldenrod_(color)#Light_goldenrod_yellow,#FAFAD2,98%,98%,82%,60°,80%,90%,16%,98%
Light gray,https://en.wikipedia.org/wiki/Grey#Web_colors,#D3D3D3,83%,83%,83%,0°,0%,83%,0%,83%
Light grayish magenta,https://en.wikipedia.org/wiki/Shades_of_magenta,#CC99CC,80%,60%,80%,300°,33%,70%,25%,80%
Light green,https://en.wikipedia.org/wiki/X11_color_names#Color_names,#90EE90,56%,93%,56%,120°,73%,75%,39%,93%
Light hot pink,https://en.wikipedia.org/wiki/Variations_of_pink#Light_hot_pink,#FFB3DE,100%,70%,87%,326°,100%,85%,30%,100%
Light khaki,https://en.wikipedia.org/wiki/Khaki_(color)#Light_khaki,#F0E68C,94%,90%,55%,54°,77%,75%,42%,94%
Light medium orchid,https://en.wikipedia.org/wiki/Orchid_(color)#Light_medium_orchid,#D39BCB,83%,61%,80%,309°,39%,72%,27%,83%
Light moss green,https://en.wikipedia.org/wiki/Moss_green#Light_moss_green,#ADDFAD,68%,87%,68%,120°,44%,78%,22%,87%
Light orchid,https://en.wikipedia.org/wiki/Orchid_(color)#Light_orchid,#E6A8D7,90%,66%,84%,315°,55%,78%,27%,90%
Light pastel purple,https://en.wikipedia.org/wiki/Purple#Light_pastel_purple,#B19CD9,69%,61%,85%,261°,45%,73%,28%,85%
Light pink,https://en.wikipedia.org/wiki/Pink#Light_pink,#FFB6C1,100%,71%,76%,351°,100%,86%,29%,100%
Light red ochre,https://en.wikipedia.org/wiki/Ochre,#E97451,91%,45%,32%,14°,78%,62%,65%,91%
Light salmon,https://en.wikipedia.org/wiki/Salmon_(color)#Light_salmon,#FFA07A,100%,63%,48%,17°,100%,74%,52%,100%
Light salmon pink,https://en.wikipedia.org/wiki/Salmon_pink#Light_salmon_pink,#FF9999,100%,60%,60%,0°,100%,80%,40%,100%
Light sea green,https://en.wikipedia.org/wiki/Cyan#Light_sea_green,#20B2AA,13%,70%,67%,177°,70%,41%,82%,70%
Light sky blue,https://en.wikipedia.org/wiki/Sky_blue#Light_sky_blue,#87CEFA,53%,81%,98%,203°,92%,75%,46%,98%
Light slate gray,https://en.wikipedia.org/wiki/Slate_gray#Light_slate_gray,#778899,47%,53%,60%,210°,14%,53%,22%,60%
Light steel blue,https://en.wikipedia.org/wiki/X11_color_names#Color_name_charts,#B0C4DE,69%,77%,87%,214°,41%,78%,21%,87%
Light taupe,https://en.wikipedia.org/wiki/Taupe#Light_taupe,#B38B6D,70%,55%,43%,26°,32%,56%,39%,70%
Light Thulian pink,https://en.wikipedia.org/wiki/Rose_(color)#Light_Thulian_Pink,#E68FAC,90%,56%,67%,340°,64%,73%,38%,90%
Light yellow,https://en.wikipedia.org/wiki/Shades_of_yellow#Light_yellow,#FFFFE0,100%,100%,88%,60°,100%,94%,12%,100%
Lilac,https://en.wikipedia.org/wiki/Lilac_(color),#C8A2C8,78%,64%,78%,300°,26%,71%,19%,78%
Lilac Luster,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silver_Swirls,#AE98AA,68%,60%,67%,311°,12%,64%,13%,68%
Lime (color wheel),https://en.wikipedia.org/wiki/Lime_(color),#BFFF00,75%,100%,0%,75°,100%,50%,100%,100%
Lime (web) (X11 green),https://en.wikipedia.org/wiki/Lime_(color)#Web_color_.22lime.22_.28X11_Green.29,#00FF00,0%,100%,0%,120°,100%,50%,100%,100%
Lime green,https://en.wikipedia.org/wiki/Lime_(color)#Lime_green,#32CD32,20%,80%,20%,120°,61%,50%,76%,80%
Limerick,https://en.wikipedia.org/wiki/Chartreuse_(color)#Limerick,#9DC209,62%,76%,4%,72°,91%,40%,95%,76%
Lincoln green,https://en.wikipedia.org/wiki/Lincoln_green,#195905,10%,35%,2%,106°,89%,18%,94%,35%
Linen,https://en.wikipedia.org/wiki/Linen_(color),#FAF0E6,98%,94%,90%,30°,67%,94%,8%,98%
Lion,https://en.wikipedia.org/wiki/Lion_(color),#C19A6B,76%,60%,42%,33°,41%,59%,45%,76%
Liseran Purple,https://en.wikipedia.org/wiki/Shades_of_purple#Liseran_purple,#DE6FA1,87%,44%,63%,333°,63%,65%,50%,87%
Little boy blue,https://en.wikipedia.org/wiki/Baby_blue#Little_boy_blue,#6CA0DC,42%,63%,86%,212°,62%,64%,51%,86%
Liver,https://en.wikipedia.org/wiki/Liver_(color),#674C47,40%,30%,28%,9°,18%,34%,31%,40%
Liver (dogs),https://en.wikipedia.org/wiki/Liver_(color)#Liver_.28dogs.29,#B86D29,72%,43%,16%,29°,64%,44%,78%,72%
Liver (organ),https://en.wikipedia.org/wiki/Liver_(color)#Liver_.28organ.29,#6C2E1F,42%,18%,12%,12°,55%,27%,71%,42%
Liver chestnut,https://en.wikipedia.org/wiki/Liver_(color)#Liver_.28organ.29,#987456,60%,45%,34%,27°,28%,47%,43%,60%
Livid,https://en.wikipedia.org/wiki/Blue-gray,#6699CC,40%,60%,80%,210°,50%,60%,50%,80%
Lumber,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Magic_Scent,#FFE4CD,100%,89%,80%,28°,100%,90%,20%,100%
Lust,https://en.wikipedia.org/wiki/Shades_of_red#Lust,#E62020,90%,13%,13%,0°,80%,51%,86%,90%
Maastricht Blue,https://en.wikipedia.org/wiki/Maastricht_University,#001C3D,0%,11%,24%,212°,100%,12%,100%,24%
Macaroni and Cheese,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors,#FFBD88,100%,74%,53%,27°,100%,77%,47%,100%
Madder Lake,https://en.wikipedia.org/wiki/History_of_Crayola_crayons#1903:_the_original_Crayola_colors,#CC3336,80%,20%,21%,359°,60%,50%,75%,80%
Magenta,https://en.wikipedia.org/wiki/Magenta,#FF00FF,100%,0%,100%,300°,100%,50%,100%,100%
